 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Nathaniel;65;62;72;60;54;67;44;47;25;24;
Neo;22;10;8;16;14;15;14;7;11;7;
Nichlas;:;4;6;7;8;6;10;5;8;8;
Nicholas;33;34;33;37;53;51;47;58;58;47;
Nicklas;22;32;34;41;42;30;42;53;27;33;
Nickolai;:;:;:;:;12;8;5;5;6;:;
Niclas;7;10;10;9;16;16;15;13;14;10;
Nico;9;5;5;11;:;:;4;:;:;:;
Nicolai;70;85;92;93;96;86;104;116;95;97;
Nicolas;22;25;19;23;31;35;37;33;27;24;
Nicolay;10;16;24;22;20;45;23;29;39;24;
Niklas;55;64;60;83;86;79;89;73;69;92;
Nikodem;11;16;:;15;5;10;5;7;5;5;
Nikolai;139;141;144;161;163;153;161;156;169;164;
Nikolas;21;21;15;23;27;23;17;22;25;21;
Nikolay;:;:;5;10;8;10;10;10;12;13;
Nils;61;64;66;46;51;53;52;38;51;56;
Noa;18;14;14;29;18;23;17;25;19;17;
Noah;322;297;317;368;368;395;359;356;331;267;
Noel;19;20;18;15;16;13;10;9;10;6;
Nojus;13;15;10;9;12;9;20;6;6;:;
Odd;11;13;9;10;8;9;12;16;16;17;
Odin;181;168;124;130;136;141;138;147;119;114;
Ola;113;112;133;142;124;122;128;106;111;128;
Olaf;14;13;18;17;20;15;16;19;21;9;
Olai;76;57;56;52;27;19;39;15;14;18;
Olander;12;11;9;12;9;11;:;4;:;:;
Olav;203;200;156;171;166;116;150;127;128;110;
Ole;161;194;151;148;190;184;207;239;218;216;
Oliver;338;390;375;389;411;458;464;356;370;345;
Olivier;15;14;11;17;10;10;8;5;7;:;
Oliwier;:;9;12;8;11;14;11;8;12;:;
Olve;19;15;22;15;9;26;27;16;14;18;
Omar;25;40;28;28;26;37;31;21;26;36;
Oscar;178;195;170;196;135;158;167;134;157;132;
Oskar;211;210;230;187;226;183;193;194;178;169;
Otto;18;14;7;13;12;13;10;10;13;8;
Patrick;48;56;61;64;79;56;82;87;85;119;
Patrik;14;17;19;18;22;22;27;24;25;32;
Patryk;10;10;13;13;14;12;17;12;11;7;
Paul;10;18;15;20;17;27;17;20;23;26;
Peder;83;111;82;79;93;99;85;74;72;62;
Pelle;8;5;10;7;10;16;8;11;15;13;
Per;32;31;37;45;41;49;38;49;44;54;
Peter;56;51;56;49;44;66;58;63;69;77;
Petter;64;84;77;88;90;91;119;117;120;125;
Philip;88;130;92;110;119;123;101;126;118;118;
Phillip;42;62;40;43;43;38;44;34;29;35;
Piotr;:;9;7;7;4;7;7;11;7;11;
Preben;8;10;12;17;16;21;19;20;57;46;
Pål;9;12;5;22;7;17;14;12;18;22;
Rafael;14;12;12;11;19;14;12;8;8;9;
Ragnar;18;15;7;9;4;12;13;8;7;5;
Rasmus;28;29;39;40;45;59;43;43;42;53;
Ravn;9;9;9;12;8;10;10;12;9;8;
Rayan;25;24;26;7;15;19;16;12;5;10;
Remi;7;4;8;7;5;8;8;10;13;12;
Richard;11;14;13;14;13;15;18;10;14;11;
Robert;12;21;16;22;21;18;19;21;29;24;
Robin;46;47;48;84;67;80;97;94;108;106;
Rolf;7;10;6;14;7;16;12;10;14;12;
Romeo;10;7;4;4;8;7;9;4;:;:;
Ruben;32;38;37;36;39;54;60;58;81;58;
Runar;:;6;8;4;15;8;14;10;16;14;
Rune;6;4;:;4;:;7;8;8;10;11;
Ryan;8;13;8;10;7;13;13;7;:;8;
Said;:;5;5;10;6;10;4;7;4;5;
Sakarias;5;11;11;6;6;10;6;7;5;:;
Salman;9;7;8;5;6;10;5;5;8;5;
Sam;18;20;17;14;9;12;9;5;13;9;
Samson;10;10;8;7;7;11;8;4;:;:;
Samuel;105;129;117;103;100;105;91;93;89;81;
Sander;310;289;285;279;334;423;341;390;423;403;
Scott;14;15;18;25;16;25;21;19;18;18;
Sean;7;15;11;11;22;33;19;30;19;19;
Sebastian;273;314;331;327;360;425;375;401;428;411;
Selmer;18;19;13;7;9;11;8;5;:;4;
Severin;4;11;7;9;4;9;5;:;6;5;
Shawn;:;:;:;:;:;8;:;7;13;7;
Sigmund;9;9;17;13;9;9;10;7;12;8;
Sigurd;175;150;190;203;208;149;159;171;177;147;
Sigve;23;32;34;43;32;39;29;38;37;35;
Silas;27;20;19;24;17;21;20;12;14;7;
Simen;62;69;70;138;135;147;193;200;210;221;
Simon;85;98;107;119;143;132;142;117;134;135;
Sindre;68;76;102;110;109;134;162;183;165;160;
Sivert;74;81;85;84;104;87;120;125;116;88;
Sjur;14;17;16;22;14;12;12;18;19;12;
Snorre;22;28;26;28;29;29;27;36;32;21;
Sofus;9;:;11;7;6;5;7;7;6;4;
Solan;7;14;12;7;5;6;:;5;:;4;
Sondre;156;184;230;224;223;258;288;260;279;288;
Stefan;17;19;15;22;22;29;22;24;17;21;
Steffen;11;20;13;19;15;23;24;36;36;47;
Stein;5;9;9;5;5;8;5;5;10;12;
Steinar;7;9;6;9;8;18;12;10;10;11;
Stian;19;19;19;25;42;53;53;77;86;104;
Storm;87;111;111;105;101;103;86;72;65;42;
Sturla;:;:;4;6;7;7;10;8;8;4;
Sune;10;6;12;8;7;:;:;:;6;6;
Svein;6;4;10;7;8;13;13;12;12;14;
Sveinung;4;:;:;:;6;:;6;7;:;12;
Sven;10;5;10;11;8;7;14;9;6;5;
Sverre;134;136;126;124;120;131;115;105;89;41;
Syed;9;12;7;7;11;13;5;6;8;8;
Syver;33;32;29;32;27;28;27;11;35;29;
Sølve;8;13;9;11;12;11;13;4;13;8;
Szymon;8;10;15;12;25;16;15;19;17;13;
Tage;18;14;20;11;18;19;15;22;23;19;
Taha;5;5;12;7;5;6;15;9;:;6;
Tallak;8;10;4;5;10;4;:;:;:;:;
Tarald;6;7;5;4;:;5;8;6;6;11;
Tarik;:;:;:;4;4;4;:;10;6;:;
Tarjei;14;21;26;22;17;16;14;14;16;20;
Teo;11;18;21;16;20;22;26;26;27;9;
Teodor;73;70;79;78;69;75;76;64;67;59;
Terje;5;6;10;5;5;9;5;10;13;6;
Theo;181;191;183;196;153;165;138;113;101;82;
Theodor;214;220;219;195;216;201;172;143;203;161;
Theodore;:;6;10;6;4;6;7;5;:;:;
Thomas;102;96;147;139;183;177;237;237;271;256;
Thor;55;45;37;32;24;28;29;30;31;21;
Thorbjørn;8;4;4;:;4;7;11;5;4;8;
Thorvald;10;13;6;6;8;12;:;5;6;:;
Tian;10;9;14;21;14;:;:;:;:;:;
Tidemann;10;8;:;:;5;:;:;:;:;:;
Tim;25;36;28;29;34;35;35;22;30;24;
Timian;7;12;17;18;20;28;21;16;:;:;
Tinius;:;:;4;5;16;9;17;11;10;13;
Tobias;288;294;305;351;361;367;406;394;391;479;
Tom;21;16;16;10;22;21;28;28;28;28;
Tomas;17;20;15;26;26;26;30;33;21;32;
Tommy;11;14;10;18;20;17;16;20;26;42;
Tony;4;8;:;12;12;15;11;17;20;14;
Tor;32;45;43;31;40;44;47;55;62;75;
Torben;8;7;10;5;4;8;14;8;16;8;
Torbjørn;19;26;19;23;30;19;27;19;32;30;
Tord;23;20;18;20;21;22;28;42;38;31;
Tore;15;5;6;13;9;9;15;11;10;18;
Torgeir;:;4;5;11;:;:;9;7;8;7;
Torje;14;10;19;11;17;15;18;16;15;8;
Torjus;16;30;32;42;33;31;27;52;35;42;
Tormod;9;9;14;12;8;11;20;12;11;20;
Torstein;19;20;21;18;12;17;25;25;25;27;
Tristan;16;29;25;26;30;39;24;30;26;25;
Trond;4;5;8;4;8;17;12;10;6;19;
Troy;14;10;13;14;17;19;16;22;17;22;
Truls;11;12;15;16;24;26;38;33;35;45;
Trygve;45;36;41;52;46;34;33;49;33;41;
Trym;107;130;123;136;145;171;169;145;137;131;
Ulrik;144;131;131;131;118;89;85;91;74;79;
Varg;12;28;25;15;17;11;13;:;5;:;
Vebjﾘrn;34;40;41;22;39;34;50;28;51;38;
Vegar;6;9;6;4;9;16;12;12;16;15;
Vegard;58;53;67;79;73;89;93;91;134;87;
