 ;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;
Kaja;70;83;89;89;122;130;120;142;153;150;
Kajsa;10;13;11;16;17;31;26;24;27;24;
Kamile;14;13;9;10;10;13;9;12;11;8;
Kamilla;26;21;26;23;31;32;49;43;48;43;
Karen;29;45;43;33;50;46;50;47;53;62;
Kari;13;24;31;23;19;30;29;30;28;29;
Karianne;4;6;9;7;8;7;11;11;13;12;
Karin;12;9;9;9;8;5;4;9;7;10;
Karina;20;11;16;14;24;22;30;29;40;28;
Karine;:;:;10;5;6;6;5;8;9;19;
Karla;9;11;4;7;9;9;5;5;4;:;
Karolina;19;12;22;17;17;27;22;12;11;22;
Karoline;66;105;100;99;118;130;119;122;124;166;
Katarina;15;9;:;12;15;11;12;7;19;13;
Katharina;4;4;5;6;:;5;9;10;14;8;
Kathrine;4;8;5;:;7;10;11;7;6;15;
Katinka;4;7;:;:;6;6;6;11;4;10;
Katja;:;:;4;:;4;:;8;10;13;12;
Katrina;6;4;:;4;4;4;8;:;10;9;
Katrine;5;5;9;13;17;23;16;33;26;36;
Kaya;5;:;8;7;6;7;11;12;8;11;
Kayla;6;7;5;11;6;8;8;6;4;:;
Khadija;4;9;15;6;7;7;11;5;6;:;
Kine;16;12;25;23;34;27;45;48;60;62;
Kira;:;7;11;6;14;7;17;14;10;6;
Kjersti;8;5;:;8;6;4;7;13;16;16;
Klara;37;47;51;42;37;37;32;19;19;20;
Klaudia;:;:;4;:;5;8;7;10;:;6;
Kornelia;24;27;26;31;29;20;23;14;15;15;
Kristiane;12;11;5;17;18;16;18;18;22;15;
Kristin;23;22;19;28;38;35;34;54;47;57;
Kristina;26;23;51;45;43;52;50;67;73;60;
Kristine;42;47;63;70;82;96;108;104;144;130;
Laiba;:;:;5;7;10;7;8;7;13;10;
Laila;:;11;14;9;11;8;11;14;7;16;
Lana;11;13;14;19;8;12;12;21;16;10;
Lara;27;23;25;24;26;22;15;16;13;20;
Laura;45;37;42;47;39;34;41;42;27;37;
Lea;69;64;79;75;83;75;87;75;95;110;
Leah;235;215;261;255;268;267;296;256;239;126;
Leana;11;14;11;7;10;13;:;:;:;:;
Leila;10;:;:;8;7;8;7;7;:;:;
Leja;14;7;6;11;4;:;:;:;:;:;
Lena;76;63;61;65;65;63;40;33;35;35;
Lene;7;6;9;10;8;19;23;24;18;22;
Leni;13;7;:;7;7;5;9;4;8;:;
Leona;28;35;21;24;28;37;37;27;24;23;
Leonora;47;32;30;46;43;31;28;29;28;19;
Lerke;10;15;19;20;8;16;8;:;:;:;
Lia;8;6;11;9;9;5;:;4;4;:;
Liana;10;7;16;10;17;13;6;7;:;4;
Liliana;15;9;12;7;6;9;4;:;:;:;
Lilja;52;62;59;35;54;42;32;22;15;19;
